STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
0	 FABIAN CANCELLARA	 BRADLEY WIGGINS		 TEJAY VAN GARDEREN
1	 FABIAN CANCELLARA	 PETER SAGAN	 MICHAEL MØRKØV	 TEJAY VAN GARDEREN
2	 FABIAN CANCELLARA	 PETER SAGAN	 MICHAEL MØRKØV	 TEJAY VAN GARDEREN
3	 FABIAN CANCELLARA	 PETER SAGAN	 MICHAEL MØRKØV	 TEJAY VAN GARDEREN
4	 FABIAN CANCELLARA	 PETER SAGAN	 MICHAEL MØRKØV	 TEJAY VAN GARDEREN
5	 FABIAN CANCELLARA	 PETER SAGAN	 MICHAEL MØRKØV	 TEJAY VAN GARDEREN
6	 FABIAN CANCELLARA	 PETER SAGAN	 MICHAEL MØRKØV	 TEJAY VAN GARDEREN
7	 BRADLEY WIGGINS	 PETER SAGAN	 CHRIS FROOME	 REIN TAARAMÄE
8	 BRADLEY WIGGINS	 PETER SAGAN	 FREDRIK KESSIAKOFF	 REIN TAARAMÄE
9	 BRADLEY WIGGINS	 PETER SAGAN	 FREDRIK KESSIAKOFF	 TEJAY VAN GARDEREN
10	 BRADLEY WIGGINS	 PETER SAGAN	 THOMAS VOECKLER	 TEJAY VAN GARDEREN
11	 BRADLEY WIGGINS	 PETER SAGAN	 FREDRIK KESSIAKOFF	 TEJAY VAN GARDEREN
12	 BRADLEY WIGGINS	 PETER SAGAN	 FREDRIK KESSIAKOFF	 TEJAY VAN GARDEREN
13	 BRADLEY WIGGINS	 PETER SAGAN	 FREDRIK KESSIAKOFF	 TEJAY VAN GARDEREN
14	 BRADLEY WIGGINS	 PETER SAGAN	 FREDRIK KESSIAKOFF	 TEJAY VAN GARDEREN
15	 BRADLEY WIGGINS	 PETER SAGAN	 FREDRIK KESSIAKOFF	 TEJAY VAN GARDEREN
16	 BRADLEY WIGGINS	 PETER SAGAN	 THOMAS VOECKLER	 TEJAY VAN GARDEREN
17	 BRADLEY WIGGINS	 PETER SAGAN	 THOMAS VOECKLER	 TEJAY VAN GARDEREN
18	 BRADLEY WIGGINS	 PETER SAGAN	 THOMAS VOECKLER	 TEJAY VAN GARDEREN
19	 BRADLEY WIGGINS	 PETER SAGAN	 THOMAS VOECKLER	 TEJAY VAN GARDEREN
20	 BRADLEY WIGGINS	 PETER SAGAN	 THOMAS VOECKLER	 TEJAY VAN GARDEREN
