STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
0	 FABIAN CANCELLARA	 DAVID MILLAR		 TONY MARTIN
1	 FABIAN CANCELLARA	 ALESSANDRO PETACCHI		 TONY MARTIN
2	 SYLVAIN CHAVANEL	 ALESSANDRO PETACCHI	 JÉRÔME PINEAU	 TONY MARTIN
3	 FABIAN CANCELLARA	 THOR HUSHOVD	 JÉRÔME PINEAU	 GERAINT THOMAS
4	 FABIAN CANCELLARA	 THOR HUSHOVD	 JÉRÔME PINEAU	 GERAINT THOMAS
5	 FABIAN CANCELLARA	 THOR HUSHOVD	 JÉRÔME PINEAU	 GERAINT THOMAS
6	 FABIAN CANCELLARA	 THOR HUSHOVD	 JÉRÔME PINEAU	 GERAINT THOMAS
7	 SYLVAIN CHAVANEL	 THOR HUSHOVD	 JÉRÔME PINEAU	 ANDY SCHLECK
8	 CADEL EVANS	 THOR HUSHOVD	 JÉRÔME PINEAU	 ANDY SCHLECK
9	 ANDY SCHLECK	 THOR HUSHOVD	 ANTHONY CHARTEAU	 ROBERT GESINK
10	 ANDY SCHLECK	 THOR HUSHOVD	 JÉRÔME PINEAU	 ROBERT GESINK
11	 ANDY SCHLECK	 ALESSANDRO PETACCHI	 JÉRÔME PINEAU	 ROBERT GESINK
12	 ANDY SCHLECK	 THOR HUSHOVD	 ANTHONY CHARTEAU	 ROBERT GESINK
13	 ANDY SCHLECK	 ALESSANDRO PETACCHI	 ANTHONY CHARTEAU	 ROBERT GESINK
14	 ANDY SCHLECK	 ALESSANDRO PETACCHI	 ANTHONY CHARTEAU	 ROBERT GESINK
15	 ANDY SCHLECK	 ALESSANDRO PETACCHI	 ANTHONY CHARTEAU	 ANDY SCHLECK
16	 ANDY SCHLECK	 THOR HUSHOVD	 ANTHONY CHARTEAU	 ANDY SCHLECK
17	 ANDY SCHLECK	 THOR HUSHOVD	 ANTHONY CHARTEAU	 ANDY SCHLECK
18	 ANDY SCHLECK	 ALESSANDRO PETACCHI	 ANTHONY CHARTEAU	 ANDY SCHLECK
19	 ANDY SCHLECK	 ALESSANDRO PETACCHI	 ANTHONY CHARTEAU	 ANDY SCHLECK
20	 ANDY SCHLECK	 ALESSANDRO PETACCHI	 ANTHONY CHARTEAU	 ANDY SCHLECK
