STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
0	 FABIAN CANCELLARA	 ANDREAS KLÖDEN		 VLADIMIR GUSEV
1	 FABIAN CANCELLARA	 ROBBIE MC EWEN	 MARTIN ELMIGER	 VLADIMIR GUSEV
2	 FABIAN CANCELLARA	 TOM BOONEN	 DAVID MILLAR	 VLADIMIR GUSEV
3	 FABIAN CANCELLARA	 TOM BOONEN	 STÉPHANE AUGE	 VLADIMIR GUSEV
4	 FABIAN CANCELLARA	 TOM BOONEN	 STÉPHANE AUGE	 VLADIMIR GUSEV
5	 FABIAN CANCELLARA	 ERIK ZABEL	 SYLVAIN CHAVANEL	 VLADIMIR GUSEV
6	 FABIAN CANCELLARA	 TOM BOONEN	 SYLVAIN CHAVANEL	 VLADIMIR GUSEV
7	 LINUS GERDEMANN	 TOM BOONEN	 SYLVAIN CHAVANEL	 JUAN MAURICIO SOLER HERNANDEZ
8	 MICHAEL RASMUSSEN	 TOM BOONEN	 SYLVAIN CHAVANEL	 LINUS GERDEMANN
9	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
10	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
11	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
12	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
13	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
14	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
15	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
16	 MICHAEL RASMUSSEN	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 ALBERTO CONTADOR
17	 ALBERTO CONTADOR	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 AMETS TXURRUKA ANSOLA
18	 ALBERTO CONTADOR	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 AMETS TXURRUKA ANSOLA
19	 ALBERTO CONTADOR	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 AMETS TXURRUKA ANSOLA
20	 ALBERTO CONTADOR	 TOM BOONEN	 JUAN MAURICIO SOLER HERNANDEZ	 AMETS TXURRUKA ANSOLA
