STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 PHILIPPE GILBERT	 CADEL EVANS	 THOR HUSHOVD	 GERAINT THOMAS
2	 THOR HUSHOVD	 PHILIPPE GILBERT	 CADEL EVANS	 GERAINT THOMAS
3	 THOR HUSHOVD	 JOSÉ ROJAS	 PHILIPPE GILBERT	 GERAINT THOMAS
4	 THOR HUSHOVD	 JOSÉ ROJAS	 CADEL EVANS	 GERAINT THOMAS
5	 THOR HUSHOVD	 PHILIPPE GILBERT	 CADEL EVANS	 GERAINT THOMAS
6	 THOR HUSHOVD	 PHILIPPE GILBERT	 JOHNNY HOOGERLAND	 GERAINT THOMAS
7	 THOR HUSHOVD	 JOSÉ ROJAS	 JOHNNY HOOGERLAND	 ROBERT GESINK
8	 THOR HUSHOVD	 PHILIPPE GILBERT	 TEJAY VAN GARDEREN	 ROBERT GESINK
9	 THOMAS VOECKLER	 PHILIPPE GILBERT	 JOHNNY HOOGERLAND	 ROBERT GESINK
10	 THOMAS VOECKLER	 PHILIPPE GILBERT	 JOHNNY HOOGERLAND	 ROBERT GESINK
11	 THOMAS VOECKLER	 MARK CAVENDISH	 JOHNNY HOOGERLAND	 ROBERT GESINK
12	 THOMAS VOECKLER	 MARK CAVENDISH	 SAMUEL SANCHEZ	 ARNOLD JEANNESSON
13	 THOMAS VOECKLER	 MARK CAVENDISH	 JÉRÉMY ROY	 ARNOLD JEANNESSON
14	 THOMAS VOECKLER	 MARK CAVENDISH	 JELLE VANENDERT	 RIGOBERTO URAN
15	 THOMAS VOECKLER	 MARK CAVENDISH	 JELLE VANENDERT	 RIGOBERTO URAN
16	 THOMAS VOECKLER	 MARK CAVENDISH	 JELLE VANENDERT	 RIGOBERTO URAN
17	 THOMAS VOECKLER	 MARK CAVENDISH	 JELLE VANENDERT	 RIGOBERTO URAN
18	 THOMAS VOECKLER	 MARK CAVENDISH	 JELLE VANENDERT	 REIN TAARAMÄE
19	 ANDY SCHLECK	 MARK CAVENDISH	 SAMUEL SANCHEZ	 PIERRE ROLLAND
20	 CADEL EVANS	 MARK CAVENDISH	 SAMUEL SANCHEZ	 PIERRE ROLLAND
21	 CADEL EVANS	 MARK CAVENDISH	 SAMUEL SANCHEZ	 PIERRE ROLLAND
