STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
0	 THOR HUSHOVD	 THOR HUSHOVD		 JOOST POSTHUMA
1	 THOR HUSHOVD	 JIMMY CASPER	 FABIAN WEGMANN	 BENOÎT VAUGRENARD
2	 THOR HUSHOVD	 ROBBIE MC EWEN	 DAVID DE LA FUENTE	 BENOÎT VAUGRENARD
3	 TOM BOONEN	 TOM BOONEN	 JÉRÔME PINEAU	 BENOÎT VAUGRENARD
4	 TOM BOONEN	 ROBBIE MC EWEN	 JÉRÔME PINEAU	 MARKUS FOTHEN
5	 TOM BOONEN	 ROBBIE MC EWEN	 JÉRÔME PINEAU	 MARKUS FOTHEN
6	 TOM BOONEN	 ROBBIE MC EWEN	 JÉRÔME PINEAU	 BENOÎT VAUGRENARD
7	 SERHIY HONCHAR	 ROBBIE MC EWEN	 JÉRÔME PINEAU	 BENOÎT VAUGRENARD
8	 SERHIY HONCHAR	 ROBBIE MC EWEN	 JÉRÔME PINEAU	 BENOÎT VAUGRENARD
9	 SERHIY HONCHAR	 ROBBIE MC EWEN	 JÉRÔME PINEAU	 BENOÎT VAUGRENARD
10	 CYRIL DESSEL	 ROBBIE MC EWEN	 JUAN MIGUEL MERCADO	 BENOÎT VAUGRENARD
11	 CYRIL DESSEL	 ROBBIE MC EWEN	 DAVID DE LA FUENTE	 BENOÎT VAUGRENARD
12	 CYRIL DESSEL	 ROBBIE MC EWEN	 DAVID DE LA FUENTE	 BENOÎT VAUGRENARD
13	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 DAVID DE LA FUENTE	 BENOÎT VAUGRENARD
14	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 DAVID DE LA FUENTE	 BENOÎT VAUGRENARD
15	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 DAVID DE LA FUENTE	 BENOÎT VAUGRENARD
16	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 MICHAEL RASMUSSEN	 BENOÎT VAUGRENARD
17	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 MICHAEL RASMUSSEN	 BENOÎT VAUGRENARD
18	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 MICHAEL RASMUSSEN	 BENOÎT VAUGRENARD
19	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 MICHAEL RASMUSSEN	 BENOÎT VAUGRENARD
20	 OSCAR PEREIRO SIO	 ROBBIE MC EWEN	 MICHAEL RASMUSSEN	 DAMIANO CUNEGO
