STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 ALEJANDRO VALVERDE	 PHILIPPE GILBERT	 THOMAS VOECKLER	 RICCARDO RICCO
2	 ALEJANDRO VALVERDE	 KIM KIRCHEN	 THOMAS VOECKLER	 RICCARDO RICCO
3	 ROMAIN FEILLU	 KIM KIRCHEN	 THOMAS VOECKLER	 ANDY SCHLECK
4	 STEFAN SCHUMACHER	 KIM KIRCHEN	 THOMAS VOECKLER	 THOMAS LÖVKVIST
5	 STEFAN SCHUMACHER	 THOR HUSHOVD	 THOMAS VOECKLER	 THOMAS LÖVKVIST
6	 KIM KIRCHEN	 THOR HUSHOVD	 SYLVAIN CHAVANEL	 THOMAS LÖVKVIST
7	 KIM KIRCHEN	 OSCAR FREIRE	 DAVID DE LA FUENTE	 THOMAS LÖVKVIST
8	 KIM KIRCHEN	 OSCAR FREIRE	 DAVID DE LA FUENTE	 THOMAS LÖVKVIST
9	 KIM KIRCHEN	 OSCAR FREIRE	 DAVID DE LA FUENTE	 ANDY SCHLECK
10	 CADEL EVANS	 OSCAR FREIRE	 RICCARDO RICCO	 VINCENZO NIBALI
11	 CADEL EVANS	 OSCAR FREIRE	 RICCARDO RICCO	 VINCENZO NIBALI
12	 CADEL EVANS	 OSCAR FREIRE	 SEBASTIAN LANG	 VINCENZO NIBALI
13	 CADEL EVANS	 OSCAR FREIRE	 SEBASTIAN LANG	 VINCENZO NIBALI
14	 CADEL EVANS	 OSCAR FREIRE	 SEBASTIAN LANG	 VINCENZO NIBALI
15	 FRANK SCHLECK	 OSCAR FREIRE	 BERNHARD KOHL	 VINCENZO NIBALI
16	 FRANK SCHLECK	 OSCAR FREIRE	 BERNHARD KOHL	 ANDY SCHLECK
17	 CARLOS SASTRE	 OSCAR FREIRE	 BERNHARD KOHL	 ANDY SCHLECK
18	 CARLOS SASTRE	 OSCAR FREIRE	 BERNHARD KOHL	 ANDY SCHLECK
19	 CARLOS SASTRE	 OSCAR FREIRE	 BERNHARD KOHL	 ANDY SCHLECK
20	 CARLOS SASTRE	 OSCAR FREIRE	 BERNHARD KOHL	 ANDY SCHLECK
21	 CARLOS SASTRE	 OSCAR FREIRE	 BERNHARD KOHL	 ANDY SCHLECK
