STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 MARCEL KITTEL	 BRYAN COQUARD	 JENS VOIGT	 PETER SAGAN
2	 VINCENZO NIBALI	 PETER SAGAN	 CYRIL LEMOINE	 ROMAIN BARDET
3	 VINCENZO NIBALI	 PETER SAGAN	 CYRIL LEMOINE	 ROMAIN BARDET
4	 VINCENZO NIBALI	 PETER SAGAN	 CYRIL LEMOINE	 ROMAIN BARDET
5	 VINCENZO NIBALI	 PETER SAGAN	 CYRIL LEMOINE	 MICHAL KWIATKOWSKI
6	 VINCENZO NIBALI	 PETER SAGAN	 CYRIL LEMOINE	 MICHAL KWIATKOWSKI
7	 VINCENZO NIBALI	 PETER SAGAN	 CYRIL LEMOINE	 MICHAL KWIATKOWSKI
8	 VINCENZO NIBALI	 PETER SAGAN	 BLEL KADRI	 MICHAL KWIATKOWSKI
9	 TONY GALLOPIN	 PETER SAGAN	 TONY MARTIN	 MICHAL KWIATKOWSKI
10	 VINCENZO NIBALI	 PETER SAGAN	 JOAQUIM RODRIGUEZ	 ROMAIN BARDET
11	 VINCENZO NIBALI	 PETER SAGAN	 JOAQUIM RODRIGUEZ	 ROMAIN BARDET
12	 VINCENZO NIBALI	 PETER SAGAN	 JOAQUIM RODRIGUEZ	 ROMAIN BARDET
13	 VINCENZO NIBALI	 PETER SAGAN	 JOAQUIM RODRIGUEZ	 ROMAIN BARDET
14	 VINCENZO NIBALI	 PETER SAGAN	 JOAQUIM RODRIGUEZ	 ROMAIN BARDET
15	 VINCENZO NIBALI	 PETER SAGAN	 JOAQUIM RODRIGUEZ	 ROMAIN BARDET
16	 VINCENZO NIBALI	 PETER SAGAN	 RAFAL MAJKA	 THIBAUT PINOT
17	 VINCENZO NIBALI	 PETER SAGAN	 RAFAL MAJKA	 THIBAUT PINOT
18	 VINCENZO NIBALI	 PETER SAGAN	 RAFAL MAJKA	 THIBAUT PINOT
19	 VINCENZO NIBALI	 PETER SAGAN	 RAFAL MAJKA	 THIBAUT PINOT
20	 VINCENZO NIBALI	 PETER SAGAN	 RAFAL MAJKA	 THIBAUT PINOT
21	 VINCENZO NIBALI	 PETER SAGAN	 RAFAL MAJKA	 THIBAUT PINOT
