STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 MIKE TEUNISSEN	 PETER SAGAN	 GREG VAN AVERMAET	 CALEB EWAN
2	 MIKE TEUNISSEN	 PETER SAGAN	 GREG VAN AVERMAET	 WOUT VAN AERT
3	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 WOUT VAN AERT
4	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 WOUT VAN AERT
5	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 WOUT VAN AERT
6	 GIULIO CICCONE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
7	 GIULIO CICCONE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
8	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 GIULIO CICCONE
9	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 GIULIO CICCONE
10	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
11	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
12	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
13	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 ENRIC MAS
14	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
15	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
16	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
17	 JULIAN ALAPHILIPPE	 PETER SAGAN	 TIM WELLENS	 EGAN BERNAL
18	 JULIAN ALAPHILIPPE	 PETER SAGAN	 ROMAIN BARDET	 EGAN BERNAL
19	 EGAN BERNAL	 PETER SAGAN	 ROMAIN BARDET	 DAVID GAUDU
20	 EGAN BERNAL	 PETER SAGAN	 ROMAIN BARDET	 DAVID GAUDU
21	 EGAN BERNAL	 PETER SAGAN	 ROMAIN BARDET	 EGAN BERNAL
