STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 GERAINT THOMAS	 VASILI KIRYIENKA		 STEFAN KÜNG
2	 GERAINT THOMAS	 MARCEL KITTEL	 TAYLOR PHINNEY	 STEFAN KÜNG
3	 GERAINT THOMAS	 MARCEL KITTEL	 NATHAN BROWN	 PIERRE LATOUR
4	 GERAINT THOMAS	 ARNAUD DEMARE	 NATHAN BROWN	 PIERRE LATOUR
5	 CHRIS FROOME	 ARNAUD DEMARE	 FABIO ARU	 SIMON YATES
6	 CHRIS FROOME	 ARNAUD DEMARE	 FABIO ARU	 SIMON YATES
7	 CHRIS FROOME	 MARCEL KITTEL	 FABIO ARU	 SIMON YATES
8	 CHRIS FROOME	 MARCEL KITTEL	 LILIAN CALMEJANE	 SIMON YATES
9	 CHRIS FROOME	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
10	 CHRIS FROOME	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
11	 CHRIS FROOME	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
12	 FABIO ARU	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
13	 FABIO ARU	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
14	 CHRIS FROOME	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
15	 CHRIS FROOME	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
16	 CHRIS FROOME	 MARCEL KITTEL	 WARREN BARGUIL	 SIMON YATES
17	 CHRIS FROOME	 MICHAEL MATTHEWS	 WARREN BARGUIL	 SIMON YATES
18	 CHRIS FROOME	 MICHAEL MATTHEWS	 WARREN BARGUIL	 SIMON YATES
19	 CHRIS FROOME	 MICHAEL MATTHEWS	 WARREN BARGUIL	 SIMON YATES
20	 CHRIS FROOME	 MICHAEL MATTHEWS	 WARREN BARGUIL	 SIMON YATES
21	 CHRIS FROOME	 MICHAEL MATTHEWS	 WARREN BARGUIL	 SIMON YATES
