STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 MARK CAVENDISH	 MARCEL KITTEL	 PAUL VOSS	 EDWARD THEUNS
2	 PETER SAGAN	 MARK CAVENDISH	 JASPER STUYVEN	 JULIAN ALAPHILIPPE
3	 PETER SAGAN	 MARK CAVENDISH	 JASPER STUYVEN	 JULIAN ALAPHILIPPE
4	 PETER SAGAN	 MARK CAVENDISH	 JASPER STUYVEN	 JULIAN ALAPHILIPPE
5	 GREG VAN AVERMAET	 PETER SAGAN	 THOMAS DE GENDT	 JULIAN ALAPHILIPPE
6	 GREG VAN AVERMAET	 MARK CAVENDISH	 THOMAS DE GENDT	 JULIAN ALAPHILIPPE
7	 GREG VAN AVERMAET	 MARK CAVENDISH	 THOMAS DE GENDT	 ADAM YATES
8	 CHRIS FROOME	 MARK CAVENDISH	 RAFAL MAJKA	 ADAM YATES
9	 CHRIS FROOME	 MARK CAVENDISH	 THIBAUT PINOT	 ADAM YATES
10	 CHRIS FROOME	 PETER SAGAN	 THIBAUT PINOT	 ADAM YATES
11	 CHRIS FROOME	 PETER SAGAN	 THIBAUT PINOT	 ADAM YATES
12	 CHRIS FROOME	 PETER SAGAN	 THOMAS DE GENDT	 ADAM YATES
13	 CHRIS FROOME	 PETER SAGAN	 THOMAS DE GENDT	 ADAM YATES
14	 CHRIS FROOME	 PETER SAGAN	 THOMAS DE GENDT	 ADAM YATES
15	 CHRIS FROOME	 PETER SAGAN	 RAFAL MAJKA	 ADAM YATES
16	 CHRIS FROOME	 PETER SAGAN	 RAFAL MAJKA	 ADAM YATES
17	 CHRIS FROOME	 PETER SAGAN	 RAFAL MAJKA	 ADAM YATES
18	 CHRIS FROOME	 PETER SAGAN	 RAFAL MAJKA	 ADAM YATES
19	 CHRIS FROOME	 PETER SAGAN	 RAFAL MAJKA	 ADAM YATES
20	 CHRIS FROOME	 PETER SAGAN	 RAFAL MAJKA	 ADAM YATES
21	 CHRIS FROOME	 PETER SAGAN	 RAFAL MAJKA	 ADAM YATES
