STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 ROHAN DENNIS	 TONY MARTIN		 TOM DUMOULIN
2	 FABIAN CANCELLARA	 ANDRÉ GREIPEL		 TOM DUMOULIN
3	 CHRIS FROOME	 ANDRÉ GREIPEL	 JOAQUIN RODRIGUEZ OLIVER	 PETER SAGAN
4	 TONY MARTIN	 ANDRÉ GREIPEL	 JOAQUIN RODRIGUEZ OLIVER	 PETER SAGAN
5	 TONY MARTIN	 ANDRÉ GREIPEL	 JOAQUIN RODRIGUEZ OLIVER	 PETER SAGAN
6	 TONY MARTIN	 ANDRÉ GREIPEL	 DANIEL TEKLEHAIMANOT	 PETER SAGAN
7	 CHRIS FROOME	 ANDRÉ GREIPEL	 DANIEL TEKLEHAIMANOT	 PETER SAGAN
8	 CHRIS FROOME	 PETER SAGAN	 DANIEL TEKLEHAIMANOT	 WARREN BARGUIL
9	 CHRIS FROOME	 PETER SAGAN	 DANIEL TEKLEHAIMANOT	 NAIRO QUINTANA
10	 CHRIS FROOME	 ANDRÉ GREIPEL	 RICHIE PORTE	 NAIRO QUINTANA
11	 CHRIS FROOME	 PETER SAGAN	 RICHIE PORTE	 NAIRO QUINTANA
12	 CHRIS FROOME	 PETER SAGAN	 JOAQUIN RODRIGUEZ OLIVER	 NAIRO QUINTANA
13	 CHRIS FROOME	 PETER SAGAN	 JOAQUIN RODRIGUEZ OLIVER	 NAIRO QUINTANA
14	 CHRIS FROOME	 PETER SAGAN	 JOAQUIN RODRIGUEZ OLIVER	 NAIRO QUINTANA
15	 CHRIS FROOME	 PETER SAGAN	 JOAQUIN RODRIGUEZ OLIVER	 NAIRO QUINTANA
16	 CHRIS FROOME	 PETER SAGAN	 JOAQUIN RODRIGUEZ OLIVER	 NAIRO QUINTANA
17	 CHRIS FROOME	 PETER SAGAN	 JOAQUIN RODRIGUEZ OLIVER	 NAIRO QUINTANA
18	 CHRIS FROOME	 PETER SAGAN	 JOAQUIN RODRIGUEZ OLIVER	 NAIRO QUINTANA
19	 CHRIS FROOME	 PETER SAGAN	 ROMAIN BARDET	 NAIRO QUINTANA
20	 CHRIS FROOME	 PETER SAGAN	 ROMAIN BARDET	 NAIRO QUINTANA
21	 CHRIS FROOME	 PETER SAGAN	 CHRIS FROOME	 NAIRO QUINTANA
