STAGES	YELLOW JERSEY	GREEN JERSEY	POLKA-DOT JERSEY	WHITE JERSEY
1	 MARCEL KITTEL	 ALEXANDER KRISTOFF	 JUAN JOSÉ LOBATO DEL VALLE	 DANNY VAN POPPEL
2	 JAN BAKELANTS	 MARCEL KITTEL	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
3	 JAN BAKELANTS	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
4	 SIMON GERRANS	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
5	 SIMON GERRANS	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
6	 DARYL IMPEY	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
7	 DARYL IMPEY	 PETER SAGAN	 BLEL KADRI	 MICHAL KWIATKOWSKI
8	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 NAIRO QUINTANA
9	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 NAIRO QUINTANA
10	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 NAIRO QUINTANA
11	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
12	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
13	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
14	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 MICHAL KWIATKOWSKI
15	 CHRIS FROOME	 PETER SAGAN	 MIKEL NIEVE ITURRALDE	 NAIRO QUINTANA
16	 CHRIS FROOME	 PETER SAGAN	 MIKEL NIEVE ITURRALDE	 NAIRO QUINTANA
17	 CHRIS FROOME	 PETER SAGAN	 MIKEL NIEVE ITURRALDE	 NAIRO QUINTANA
18	 CHRIS FROOME	 PETER SAGAN	 CHRISTOPHE RIBLON	 NAIRO QUINTANA
19	 CHRIS FROOME	 PETER SAGAN	 PIERRE ROLLAND	 NAIRO QUINTANA
20	 CHRIS FROOME	 PETER SAGAN	 NAIRO QUINTANA	 ANDREW TALANSKY
21	 CHRIS FROOME	 PETER SAGAN	 NAIRO QUINTANA	 NAIRO QUINTANA
